Movie,Director,Year,Rating,Summary,Worldwide Box Office ($),Rotten Tomatoes (%),Rotten Tomatoes (as decimal)
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,2012,R,"A graphic designer's enviable life slides into despair when his girlfriend breaks up with him.
",210565,16,0.16
Ginger & Rosa,Sally Porter,2012,PG-13,"A look at the lives of two teenage girls - inseparable friends Ginger and Rosa -- growing up in 1960s London as the Cuban Missile Crisis looms, and the pivotal event that comes to redefine their relationship.",1415896,78,0.78
Spring Breakers,Harmony Korine,2012,R,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",31149251,68,0.68
The Bling Ring,Sofia Coppola,2013,R,"Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",12407491,60,0.60
The Spectacular Now,James Ponsoldt,2013,R,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",6916951,92,0.92
Enemy,Denis Villeneuve,2013,R,A man seeks out his exact look-alike after spotting him in a movie.,4590814,72,0.72
Under the Skin,Jonathan Glazer,2013,R,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",7229933,83,0.83
Locke,Steven Knight,2013,R,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call that sets in motion a series of events that threaten his carefully cultivated existence.",2189800,91,0.91
Obvious Child,Gillian Robespierre,2014,R,A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.,3324070,90,0.90
The Rover,David Michod,2014,R,"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.",3180252,67,0.67
Life After Beth,Jeff Baena,2014,R,"A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.",334491,46,0.46
Tusk,Kevin Smith,2014,R,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,1887554,46,0.46
Laggies,Lynn Shelton,2014,R,"In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes. She takes an opportunity to escape for a week, hiding out in the house of her new 16-year-old friend Annika and her world-weary single dad.",2262436,64,0.64
Revenge of the Green Dragons,Andrew Loo,2014,R,Two best friends rise through the ranks of New York's Chinese underworld in the 1980s.,213164,16,0.16
The Captive,Atom Egoyan,2014,R,"Eight years after the disappearance of Cassandra, some disturbing incidents seem to indicate that she's still alive. Police, parents and Cassandra herself, will try to unravel the mystery of her disappearance.",2090612,28,0.28
A Most Violent Year,J. C. Chandor,2014,R,"In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.",8869722,90,0.90
Son of a Gun,Julius Avery,2014,R,"JR busts out of prison with Brendan Lynch, Australia's most notorious criminal, and joins Lynch's gang for a gold heist that soon pits the two men against one another.",256003,63,0.63
While We're Young,Noah Baumbach,2014,R,A middle-aged couple's career and marriage are overturned when a disarming young couple enters their lives.,17503828,84,0.84
Cut Bank,Matt Shakman,2014,R,A young man's life is unraveled after witnessing a murder that he filmed in his rural town of Cut Bank.,213012,38,0.38
Ex Machina,Alex Garland,2014,R,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,38261299,92,0.92
Slow West,John Maclean,2015,R,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.",2089072,92,0.92
Barely Lethal,Kyle Newman,2015,PG-13,"A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage.",513303,26,0.26
Amy,Asif Kapadia,2015,R,Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter Amy Winehouse.,23778585,96,0.96
The End of the Tour,James Ponsoldt,2015,R,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'",3114343,92,0.92
Dark Places,Gilles Paquet-Brenner,2015,R,"Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.",5685597,23,0.23
Mississippi Grind,Anna Boden,2015,R,"Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",448641,91,0.91
Room,Lenny Abrahamson,2015,R,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",36316727,93,0.93
Mojave,William Monahan,2015,R,"A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter.",8602,31,0.31
The Witch,Robert Eggers,2015,R,An isolated Puritan family in 1630s New England comes unraveled by the forces of witchcraft and possession.,40364725,91,0.91
Remember,Atom Egoyan,2015,R,"With the aid of a fellow Auschwitz survivor and a hand-written letter, an elderly man with dementia goes in search of the person he believes to be responsible for the death of his family in the death camp to kill him himself.",4235959,68,0.68
Krisha,Trey Edward Shults,2015,R,"Krisha returns for Thanksgiving dinner after ten years away from her family, but past demons threaten to ruin the festivities.",144822,95,0.95
Green Room,Jeremy Saulnier,2015,R,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,3807503,90,0.90
The Adderall Diaries,Pamela Romanowsky,2015,R,"Elliot, a troubled former successful writer decides to write about a missing wife and the following murder trial of her husband.",15364,26,0.26
The Lobster,Yorgos Lanthimos,2015,R,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",17581104,88,0.88
De Palma,Noah Baumbach,2015,R,A documentary about writer and director Brian De Palma.,168042,95,0.95
